t,plates,parcels,cont_frac,mean_v,max_v,subducted,created,accreted,absorbed,cont_lost,cont_grown,rifts,merges,initiations,active_rifts,sea_level,backarcs,arc_plates,weld_static,weld_locked,retired,dissolved,deposited,sediment
0.25,12,639662,0.2744,18.26,45.42,92,2,2,248,0,3,0,0,11,0,0.0,0,0,0,0,0,0,3,0.0001
0.5,12,638861,0.2746,19.18,55.34,805,49,0,45,0,3,0,0,6,0,0.0,0,0,0,0,0,0,3,0.0002
0.75,12,638479,0.2747,24.00,68.94,509,199,2,72,0,4,0,0,5,0,0.0,0,0,0,0,0,0,3,0.0003
1,12,638200,0.2748,27.01,82.15,541,280,1,18,0,4,0,0,3,0,0.0,0,0,0,0,0,0,4,0.0001
1.25,12,637940,0.2749,30.16,96.53,707,450,0,3,0,3,0,0,2,0,0.0,0,0,0,0,0,0,3,0.0002
1.5,12,637713,0.2750,33.14,109.05,1023,796,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0001
1.75,12,637687,0.2750,36.26,120.25,903,877,0,0,0,3,0,0,1,0,0.0,0,0,0,0,0,0,3,0.0002
2,12,637596,0.2751,39.36,129.46,1032,941,0,0,0,5,0,0,1,0,0.0,0,0,0,0,0,0,4,0.0000
2.25,12,637512,0.2751,41.69,137.44,1132,1048,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
2.5,12,637356,0.2752,43.60,146.14,1185,1029,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
2.75,12,637112,0.2753,45.66,153.77,1425,1181,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
3,12,636827,0.2754,47.46,160.23,1425,1140,0,0,0,6,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
3.25,12,636669,0.2755,49.08,165.81,1384,1226,0,0,0,3,0,0,1,0,0.0,0,0,0,0,0,0,3,0.0002
3.5,12,636501,0.2756,50.36,170.60,1410,1242,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
3.75,12,636157,0.2757,51.55,174.31,1620,1276,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0001
4,12,635914,0.2758,52.30,177.78,1544,1301,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
4.25,12,635638,0.2760,53.29,180.09,1593,1317,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
4.5,12,635314,0.2761,54.33,182.49,1737,1413,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
4.75,12,634994,0.2763,54.98,184.45,1741,1421,1,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0001
5,12,634693,0.2764,55.75,185.99,1720,1419,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
5.25,12,634362,0.2766,56.24,187.63,1795,1464,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
5.5,12,634043,0.2767,56.44,188.02,1807,1489,0,1,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
5.75,12,633805,0.2768,56.99,188.71,1736,1498,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
6,12,633471,0.2770,57.12,188.83,1833,1500,1,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
6.25,12,633144,0.2771,57.49,189.52,1850,1523,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
6.5,12,632801,0.2773,57.68,189.97,1892,1549,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
6.75,12,632418,0.2774,57.78,190.40,1923,1540,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
7,12,632127,0.2776,58.19,190.57,1852,1562,0,1,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
7.25,12,631680,0.2778,58.19,190.85,2034,1587,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
7.5,12,631386,0.2779,58.52,191.65,1897,1603,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
7.75,12,630963,0.2781,58.43,192.98,2005,1582,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
8,12,630585,0.2783,58.67,194.09,1943,1565,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
8.25,12,630210,0.2784,58.47,195.03,1962,1587,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
8.5,12,629927,0.2786,58.67,195.81,1930,1647,0,0,0,6,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
8.75,12,629468,0.2788,58.48,196.48,2067,1608,0,0,0,6,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
9,12,629122,0.2790,58.64,197.03,1969,1623,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
9.25,12,628752,0.2791,58.46,197.49,2009,1640,1,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
9.5,12,628463,0.2793,58.57,197.86,1922,1634,0,1,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
9.75,12,628105,0.2794,58.37,198.20,1998,1640,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
10,12,627759,0.2796,58.64,198.48,1979,1633,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
10.25,12,627463,0.2797,58.49,198.72,1980,1685,2,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
10.5,12,627073,0.2799,58.67,197.68,2013,1623,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
10.75,12,626774,0.2800,58.50,196.42,1953,1656,1,2,0,5,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
11,12,626365,0.2802,58.76,194.45,2062,1653,0,0,0,9,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
11.25,12,626085,0.2804,58.48,194.19,1946,1666,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
11.5,12,625832,0.2805,58.55,194.28,1942,1689,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
11.75,12,625411,0.2807,58.24,195.01,2063,1644,1,2,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
12,12,625095,0.2808,58.23,193.59,1963,1648,0,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
12.25,12,624776,0.2810,57.86,191.86,1958,1640,1,1,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
12.5,12,624493,0.2811,57.62,190.06,1936,1657,0,4,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
12.75,12,624061,0.2813,57.30,190.01,2028,1596,2,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
13,12,623842,0.2814,57.21,189.87,1899,1685,0,5,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
13.25,12,623518,0.2815,56.95,190.31,1922,1601,0,3,1,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
13.5,12,623118,0.2817,56.94,190.23,2000,1601,0,1,0,7,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
13.75,12,622816,0.2819,56.61,190.36,1918,1622,0,6,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
14,12,622471,0.2820,56.54,190.13,1937,1592,1,0,0,8,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
14.25,12,622254,0.2821,56.12,190.49,1851,1636,1,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
14.5,12,621974,0.2823,56.32,190.56,1902,1622,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
14.75,12,621662,0.2824,55.94,190.41,1933,1622,1,1,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
15,12,621392,0.2825,56.02,190.58,1878,1609,0,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
15.25,12,621049,0.2827,55.58,190.38,1949,1607,2,1,0,2,0,0,0,0,0.0,0,0,0,0,0,0,2,0.0003
15.5,12,620751,0.2828,55.49,190.66,1866,1568,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
15.75,12,620507,0.2830,55.30,190.79,1844,1604,0,4,0,6,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
16,12,620235,0.2831,55.34,190.76,1889,1618,0,1,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
16.25,12,619918,0.2832,55.26,191.14,1864,1547,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
16.5,12,619562,0.2834,55.42,190.79,1944,1588,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
16.75,12,619335,0.2835,55.42,191.16,1856,1631,1,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
17,12,619097,0.2836,55.49,191.07,1839,1602,0,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
17.25,12,618779,0.2838,55.51,190.78,1923,1606,0,1,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
17.5,12,618492,0.2839,55.59,191.15,1860,1574,0,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
17.75,12,618223,0.2840,55.38,191.60,1898,1631,0,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
18,12,617887,0.2842,55.52,191.87,1919,1583,1,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
18.25,12,617618,0.2843,55.15,192.49,1868,1603,4,5,5,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
18.5,12,617375,0.2844,55.27,193.10,1831,1593,3,5,3,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
18.75,12,617082,0.2845,55.19,193.82,1872,1585,4,6,5,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
19,12,616831,0.2847,55.40,194.39,1835,1588,0,4,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
19.25,12,616546,0.2848,55.36,195.17,1858,1578,1,5,2,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
19.5,12,616325,0.2849,55.20,195.77,1832,1611,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
19.75,12,616055,0.2850,54.98,196.14,1849,1580,1,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
20,12,615794,0.2851,54.92,196.71,1859,1601,0,3,0,4,0,0,0,0,0.0,0,0,0,0,0,0,2,0.0003
20.25,12,615545,0.2853,54.82,197.14,1803,1555,0,1,2,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
20.5,12,615197,0.2854,54.81,197.58,1923,1576,0,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
20.75,12,614898,0.2856,54.76,197.90,1854,1557,1,2,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
21,12,614663,0.2857,54.64,198.11,1819,1584,1,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
21.25,12,614393,0.2858,54.46,198.40,1835,1566,2,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
21.5,12,614142,0.2859,54.37,198.52,1843,1593,1,1,0,6,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
21.75,12,613858,0.2861,54.32,198.38,1857,1575,0,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
22,12,613690,0.2862,54.28,198.19,1812,1645,0,1,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
22.25,12,613403,0.2863,54.13,197.98,1856,1571,0,2,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
22.5,12,613197,0.2864,54.27,197.94,1798,1595,1,3,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
22.75,12,612958,0.2865,54.21,196.86,1793,1559,1,5,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
23,12,612695,0.2866,54.12,196.64,1851,1588,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,2,0.0003
23.25,12,612461,0.2867,54.14,196.52,1832,1603,1,5,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
23.5,12,612231,0.2869,54.25,196.00,1852,1622,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
23.75,12,611988,0.2870,54.11,196.55,1838,1599,0,4,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
24,12,611770,0.2871,53.87,196.90,1840,1622,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
24.25,12,611508,0.2872,53.86,197.32,1849,1587,0,0,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
24.5,12,611270,0.2873,53.56,197.66,1811,1575,0,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
24.75,12,611123,0.2874,53.75,197.97,1789,1643,0,1,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
25,12,610879,0.2875,53.54,198.18,1836,1593,1,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
25.25,12,610602,0.2876,53.68,198.44,1857,1581,1,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
25.5,12,610396,0.2877,53.51,198.35,1788,1584,0,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
25.75,12,610097,0.2879,53.70,198.47,1830,1531,2,0,0,2,0,0,0,0,0.0,0,0,0,0,0,0,2,0.0003
26,12,609928,0.2880,53.80,198.63,1793,1626,1,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
26.25,12,609674,0.2881,53.64,198.78,1811,1557,2,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
26.5,12,609521,0.2882,53.59,198.76,1746,1599,0,6,1,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
26.75,12,609339,0.2883,53.78,198.64,1753,1571,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
27,12,609073,0.2884,53.56,198.58,1811,1548,0,3,1,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
27.25,12,608868,0.2885,53.99,198.51,1763,1558,1,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
27.5,12,608675,0.2886,53.76,198.15,1771,1586,1,8,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
27.75,12,608513,0.2887,53.92,197.89,1725,1563,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0000
28,12,608383,0.2887,53.72,197.25,1706,1577,0,1,0,4,0,0,0,0,0.0,0,0,0,0,0,0,2,0.0003
28.25,12,608300,0.2888,53.14,196.39,1680,1599,0,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
28.5,12,608082,0.2889,52.36,194.99,1732,1515,12,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
28.75,12,607853,0.2890,51.41,192.36,1739,1512,10,3,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
29,12,607625,0.2891,50.66,188.57,1675,1451,21,9,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
29.25,12,607494,0.2891,49.95,184.78,1578,1470,9,24,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
29.5,12,607334,0.2891,48.97,179.97,1569,1447,14,39,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
29.75,12,607171,0.2892,47.13,174.80,1523,1390,15,32,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
30,12,607091,0.2892,45.65,172.21,1430,1367,3,17,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
30.25,12,606988,0.2892,45.68,170.82,1459,1363,0,7,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
30.5,12,606908,0.2892,45.33,169.86,1395,1324,1,9,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
30.75,12,606819,0.2893,45.44,169.40,1435,1351,2,5,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
31,12,606725,0.2893,45.25,170.41,1419,1332,2,7,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
31.25,12,606560,0.2894,45.07,169.35,1438,1276,0,3,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
31.5,12,606489,0.2894,45.05,169.86,1395,1329,0,5,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
31.75,12,606428,0.2895,45.25,170.62,1372,1314,5,3,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
32,12,606286,0.2895,45.01,170.90,1434,1297,3,5,1,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
32.25,12,606163,0.2896,44.80,171.79,1424,1304,7,4,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
32.5,12,606083,0.2896,44.27,175.34,1368,1297,9,11,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
32.75,12,605999,0.2896,43.91,178.05,1352,1283,9,16,0,6,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
33,12,605930,0.2897,43.74,180.56,1384,1326,4,12,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
33.25,12,605801,0.2897,44.12,182.52,1411,1294,5,13,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
33.5,12,605758,0.2897,44.30,184.25,1331,1303,3,15,0,5,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
33.75,12,605687,0.2897,44.66,185.74,1350,1288,2,9,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
34,12,605573,0.2898,44.61,187.05,1401,1293,1,6,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
34.25,12,605492,0.2898,44.82,188.21,1389,1310,1,2,0,5,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
34.5,12,605378,0.2899,45.45,189.06,1421,1310,0,3,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
34.75,12,605316,0.2899,45.52,189.69,1392,1334,1,4,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
35,12,605247,0.2899,46.00,190.46,1409,1342,0,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
35.25,12,605168,0.2900,46.20,191.08,1461,1382,1,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
35.5,12,605141,0.2900,46.42,191.73,1420,1394,0,1,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
35.75,12,605052,0.2901,46.72,192.29,1493,1406,0,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
36,12,605004,0.2901,47.10,192.64,1472,1424,0,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
36.25,12,604919,0.2901,47.33,193.12,1532,1447,1,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
36.5,12,604904,0.2901,47.52,193.66,1421,1408,1,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
36.75,12,604802,0.2902,47.94,193.85,1480,1379,0,1,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
37,12,604752,0.2902,48.14,189.70,1483,1434,0,1,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
37.25,12,604633,0.2903,48.28,181.53,1544,1424,3,0,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
37.5,12,604496,0.2904,48.43,179.91,1562,1427,2,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0001
37.75,12,604378,0.2904,48.83,182.64,1530,1414,3,2,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
38,12,604365,0.2904,48.75,185.17,1514,1501,0,0,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
38.25,12,604278,0.2905,48.99,187.27,1529,1444,2,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
38.5,12,604190,0.2905,49.01,189.07,1589,1503,2,2,0,5,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
38.75,12,604017,0.2906,49.05,190.60,1638,1467,0,2,0,6,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
39,12,603948,0.2906,48.80,191.86,1543,1478,1,4,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
39.25,12,603856,0.2907,49.18,193.03,1574,1484,2,2,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
39.5,12,603764,0.2907,49.12,194.04,1582,1496,1,6,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
39.75,12,603653,0.2908,49.39,193.26,1546,1440,3,5,0,4,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
40,12,603655,0.2908,49.51,194.01,1536,1542,2,4,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
40.25,12,603555,0.2908,49.64,191.92,1518,1424,0,6,0,4,0,0,0,0,0.0,0,0,0,0,0,0,4,0.0000
40.5,12,603491,0.2909,49.70,192.69,1506,1443,1,1,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0001
40.75,12,603393,0.2909,49.66,192.85,1545,1449,2,2,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0002
41,12,603264,0.2910,49.58,192.62,1562,1436,0,3,0,3,0,0,0,0,0.0,0,0,0,0,0,0,3,0.0003
41.25,13,603161,0.2910,49.41,193.19,1560,1462,1,5,0,4,0,0,0,0,0.0,1,1,0,0,0,0,4,0.0000
41.5,13,603120,0.2910,49.49,193.40,1520,1481,0,2,0,4,0,0,1,0,0.0,0,1,0,0,0,0,3,0.0001
41.75,13,603053,0.2911,48.92,194.03,1511,1447,0,3,0,4,0,0,1,0,0.0,0,1,0,0,0,0,3,0.0002
42,13,602969,0.2911,48.62,194.94,1545,1465,0,4,0,4,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0003
42.25,13,602916,0.2912,47.42,195.64,1484,1433,0,2,1,4,0,0,0,0,0.0,0,1,0,0,0,0,4,0.0000
42.5,13,602791,0.2912,46.37,196.24,1592,1469,1,2,4,5,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
42.75,13,602808,0.2912,45.09,196.83,1465,1484,0,2,3,5,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0002
43,13,602708,0.2912,44.30,197.30,1483,1386,0,3,3,5,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0003
43.25,13,602589,0.2913,45.03,196.92,1503,1386,0,2,1,7,0,0,0,0,0.0,0,1,0,0,0,0,4,0.0000
43.5,13,602508,0.2914,44.18,197.06,1463,1388,2,6,0,5,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
43.75,13,602484,0.2914,43.66,197.39,1418,1396,0,2,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0002
44,13,602454,0.2914,44.98,197.33,1419,1392,0,3,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0003
44.25,13,602350,0.2914,44.51,197.66,1450,1350,1,4,0,4,0,0,0,0,0.0,0,1,0,0,0,0,4,0.0000
44.5,13,602387,0.2914,44.59,197.96,1381,1420,0,2,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
44.75,13,602319,0.2915,44.51,198.16,1489,1423,0,2,0,4,0,0,1,0,0.0,0,1,0,0,0,0,3,0.0002
45,13,602264,0.2915,45.14,198.23,1440,1387,0,2,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0003
45.25,13,602224,0.2915,45.20,197.15,1467,1429,0,2,0,4,0,0,0,0,0.0,0,1,0,0,0,0,4,0.0000
45.5,13,602166,0.2915,45.73,197.59,1472,1415,0,1,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
45.75,13,602067,0.2916,46.03,197.77,1508,1413,0,4,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0002
46,13,602035,0.2916,46.13,196.56,1465,1433,0,0,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0002
46.25,13,601991,0.2916,46.14,195.39,1488,1446,0,2,0,5,0,0,0,0,0.0,0,1,0,0,0,0,4,0.0000
46.5,13,601988,0.2916,46.69,195.76,1459,1458,0,2,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
46.75,13,601996,0.2916,46.76,196.20,1419,1427,0,0,0,4,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
47,13,601999,0.2916,47.29,196.64,1471,1476,0,2,0,4,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0002
47.25,13,601957,0.2917,47.01,197.00,1478,1440,0,4,0,4,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0003
47.5,13,601797,0.2917,47.80,197.28,1566,1407,0,1,0,4,0,0,0,0,0.0,0,1,0,0,0,0,4,0.0000
47.75,13,601761,0.2918,47.65,197.16,1516,1481,1,1,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
48,13,601670,0.2918,48.37,197.39,1529,1440,0,2,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0002
48.25,13,601637,0.2918,47.95,197.71,1494,1461,0,0,0,4,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0002
48.5,13,601518,0.2919,48.55,198.04,1575,1457,1,1,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0003
48.75,13,601422,0.2919,49.09,198.02,1592,1498,0,2,0,4,0,0,0,0,0.0,0,1,0,0,0,0,4,0.0000
49,13,601327,0.2920,49.32,198.31,1556,1461,2,0,0,4,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
49.25,13,601193,0.2921,49.51,198.20,1629,1496,0,1,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
49.5,13,601134,0.2921,50.04,198.47,1555,1497,0,1,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0002
49.75,13,601046,0.2921,49.82,198.00,1609,1523,0,2,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0002
50,13,600918,0.2922,49.56,198.10,1584,1456,1,0,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0003
50.25,13,600810,0.2923,49.54,198.24,1579,1474,0,3,1,4,0,0,0,0,0.0,0,1,0,0,0,0,4,0.0000
50.5,13,600706,0.2923,48.99,197.89,1526,1422,0,0,1,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
50.75,13,600638,0.2924,48.14,198.02,1547,1480,1,1,1,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
51,13,600570,0.2924,48.20,197.59,1536,1470,0,2,1,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0002
51.25,13,600458,0.2924,47.54,197.87,1539,1430,4,3,2,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0002
51.5,13,600391,0.2925,47.60,193.24,1507,1443,2,3,0,4,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0003
51.75,13,600344,0.2925,47.27,194.10,1491,1451,4,7,0,5,0,0,0,0,0.0,0,1,0,0,0,0,4,0.0000
52,13,600314,0.2925,47.04,190.56,1512,1484,3,2,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0000
52.25,13,600289,0.2925,47.07,190.07,1478,1457,2,4,0,3,0,0,0,0,0.0,0,1,0,0,0,0,3,0.0001
